SDSID,SDSFEATURENAME,SDSFEATUREDESCRIPTION,SDSMETADATAID,DISTANCEMARKCATEGORY,DISTANCEMARKERIDPK,CATDIS,WTWDIS,UNLOCD,HUNITS,SORDAT,DIS_REF,WATERWAY,RULEID,LOL,Pool,VertDatum
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_PEO_1883_rm,1,188.300000000000011,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,440.000000000000000,PE,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_PEO_1887_rm,1,188.700000000000017,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,440.000000000000000,PE,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_PEO_2298_rm,1,229.800000000000011,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,440.284810126582272,PE,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_PEO_2303_rm,1,230.300000000000011,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,440.291139240506368,PE,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_PEO_2306_rm,1,230.599999999999994,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,440.294936708860746,PE,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_SRK_2311_rm,1,231.099999999999994,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,458.500000000000000,SR,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_SRK_2314_rm,1,231.400000000000006,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,458.500000000000000,SR,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_SRK_2317_rm,1,231.700000000000017,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,458.500000000000000,SR,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_SRK_2322_rm,1,232.200000000000017,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,458.500000000000000,SR,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_MAR_2707_rm,1,270.699999999999989,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,482.800000000000011,MA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_MAR_2712_rm,1,271.199999999999989,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,482.800000000000011,MA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_MAR_2715_rm,1,271.500000000000000,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,504.500000000000000,DR,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_PEO_1790_rm,1,179.000000000000000,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,2,440.000000000000000,PE,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_PEO_1740_rm,1,174.000000000000000,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,2,440.000000000000000,PE,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_PEO_1710_rm,1,171.000000000000000,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,2,440.000000000000000,PE,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_PEO_1670_rm,1,167.000000000000000,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,2,440.000000000000000,PE,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_PEO_1630_rm,1,163.000000000000000,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,2,440.000000000000000,PE,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_PEO_1600_rm,1,160.000000000000000,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,2,440.000000000000000,PE,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_1560_rm,1,156.000000000000000,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,2,429.958536585365835,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_DRE_2790_rm,1,279.000000000000000,,5,20130522,Confluence with the Upper Mississippi River,DES PLAINES RIVER,2,504.500000000000000,DR,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_DRE_2720_rm,1,272.000000000000000,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,2,504.500000000000000,DR,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_DRE_2730_rm,1,273.000000000000000,,5,20130522,Confluence with the Upper Mississippi River,DES PLAINES RIVER,2,504.500000000000000,DR,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_1420_rm,1,142.000000000000000,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,2,429.620930232558123,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_1390_rm,1,139.000000000000000,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,2,429.551162790697674,LA,NGVD1929
