CHANNELAREAIDFK,CONTRACTIDFK,DREDGECOST,DREDGINGEVENTAREAIDFK,DREDGINGEVENTIDPK,DREDGINGPURPOSE,EVENTDEPTH,EVENTDEPTHUOM,EVENTTYPE,EXECYEAR,FEATUREDESCRIPTION,FEATURENAME,MEDIAID,METADATAID,PLACEMENTAREADESC,PLACEMENTAREAIDFK,RPSUID,RPUID,SDSID,UNITCOST,VOLUMEDREDGED,RIVER,POOL,DREDGE_TYPE,LABOR_TYPE,DATE_START,DATE_END,UP_RIV_MIL,DN_RIV_MIL,VOLUME_UNITS,REACH_NAME,PREHYDROSURVEY_ID,POSTHYDROSURVEY_ID,REHANDLE_ID,DREDGE_NAME,COST,NARRATIVE,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE
,,,99897,1.62001E+14,channel,-11,foot,dredged,2001,,CENTENNIAL BRIDGE,,2001101948154819,,UM_4820_L,,,,,27778,Mississippi_River,16,Hydraulic,Hired_Labor,10/19/2001 0:00,10/22/2001 0:00,481.9,481.5,cubicYard,CENTENNIAL AND CRESCENT BRIDGES,UM_16_MVR_20010926_BD_47984829_01A,UM_16_MVR_20011029_AD_48144821_01B,,WM. A. THOMPSON,,CENTENNIAL BRIDGE STOCKPILE BANKLINE PLACEMENT 481.9-482.0L,B5ODTJLM,3/29/2023 17:22,B5ODTDJM,6/12/2025 18:27
,,,99996,1.82001E+14,channel,-11,foot,dredged,2001,,FURNAL ISLAND,,2001061041354137,,UM_4184_T,,,,,17862,Mississippi_River,18,Mechanical,Hired_Labor,6/10/2001 0:00,7/15/2001 0:00,413.7,413.5,cubicYard,FERNAL ISLAND,UM_18_MVR_20010604_BD_41304148_01A,UM_18_MVR_20010717_CS_41354140_01B,,HIRED LABOR,,BENTON ISLAND THALWEG PLACEMENT 418.6-418.8T,B5ODTJLM,3/29/2023 17:22,B5ODTDJM,6/12/2025 18:27
,,,99732,PE2006123042309,channel,-11,foot,dredged,2006,,STARVED ROCK LOWER,,2006082823042309,,IL_2315_R,,,,,2394,Illinois_Waterway,PE,Mechanical,Hired_Labor,8/28/2006 0:00,9/13/2006 0:00,230.9,230.4,cubicYard,STARVED ROCK LOWER,IL_PE_MVR_20060726_BD_22992309_06B,,,MAZON,,STARVED ROCK BOAT YARD UPLAND PLACEMENT 231.5-231.6R,B5ODTJLM@MVD,8/21/2024 17:58,B5ODTDJM,6/12/2025 18:27
,,,99870,1.82001E+14,channel,-11,foot,dredged,2001,,KEITHSBURG LOWER,,2001100842534256,,UM_4255_L,,,,,19629,Mississippi_River,18,Hydraulic,Hired_Labor,10/8/2001 0:00,10/11/2001 0:00,425.6,425.3,cubicYard,KEITHSBURG LOWER,UM_18_MVR_20010912_BD_42524274_01C,UM_18_MVR_20011022_CS_42524260_01D,,WM. A. THOMPSON,,WILLOWBAR DMMP LOWER UPLAND PLACEMENT 425.5-425.7L,B5ODTJLM,3/29/2023 17:22,B5ODTDJM,6/12/2025 18:27
,,,99814,2.22001E+14,channel,-11,foot,dredged,2001,,TURTLE ISLAND,,2001072031163121,,UM_3119_L,,,,,57055,Mississippi_River,22,Hydraulic,Hired_Labor,7/20/2001 0:00,7/23/2001 0:00,312.1,311.6,cubicYard,TURTLE ISLAND,UM_22_MVR_20010717_BD_31123125_01C,UM_22_MVR_20010730_CS_31143122_01D,2.22001E+14,WM. A. THOMPSON,,OPEN WATER PLACEMENT 311.5-312.0 TO BE REHANDLED,B5ODTJLM,3/29/2023 17:22,B5ODTDJM,6/12/2025 18:27
,,,99810,2.42001E+14,channel,-11,foot,dredged,2001,,LOCK 22 LOWER,,2001081430043005,,UM_2965_L,,,,,7576,Mississippi_River,24,Mechanical,Hired_Labor,8/14/2001 0:00,8/22/2001 0:00,300.5,300.4,cubicYard,LOCK 22 LOWER,UM_24_MVR_20010718_BD_30003012_01B,UM_24_MVR_20011002_CS_30003012_01C,,HIRED LABOR,,CINCINATTI LANDING UPLAND PLACEMENT 297.6-297.7L,B5ODTJLM,3/29/2023 17:22,B5ODTDJM,6/12/2025 18:27
,,,99811,2.22001E+14,channel,-11,foot,dredged,2001,,CAVE HOLLOW,,2001072330633067,,UM_3066_R,,,,,18666,Mississippi_River,22,Hydraulic,Hired_Labor,7/23/2001 0:00,7/25/2001 0:00,306.7,306.3,cubicYard,CAVE HOLLOW,UM_22_MVR_20010716_BD_30603072_01B,UM_22_MVR_20010729_BD_30623069_01C,2.22001E+14,WM. A. THOMPSON,,OPEN WATER PLACEMENT 306.4-306.7 TO BE REHANDLED,B5ODTJLM,3/29/2023 17:22,B5ODTDJM,6/12/2025 18:27
,,,99833,2.02002E+14,channel,-11,foot,dredged,2002,,GREGORY LOWER,,2002102235103511,,UM_3484_T,,,,,1484,Mississippi_River,20,Mechanical,Hired_Labor,10/22/2002 0:00,10/24/2002 0:00,351.1,351,cubicYard,GREGORY LOWER,UM_20_MVR_20021008_BD_35083520_02C,UM_20_MVR_20021105_CS_35083518_02D,,HIRED LABOR,,BUZZARD THALWEG PLACEMENT 348.4-348.6T,B5ODTJLM,3/29/2023 17:22,B5ODTDJM,6/12/2025 18:27
,,,99906,1.52006E+14,channel,-11,foot,dredged,2006,,LOCK 14 LOWER AUX,,2006103149294930,,UM_4939_R,,,,,1282,Mississippi_River,15,Mechanical,Hired_Labor,10/31/2006 0:00,11/15/2006 0:00,493,492.9,cubicYard,LOCK 14 LOWER,UM_15_MVR_20061012_CS_49284930_06B,,,HIRED LABOR,,SMITH ISLAND UPLAND PLACEMENT 493.9R,B5ODTJLM@MVD,8/16/2023 15:37,B5ODTDJM,6/12/2025 18:27
,,,99823,2.12002E+14,channel,-11,foot,dredged,2002,,HOGBACK,,2002090833103314,,UM_3318_L,,,,,33886,Mississippi_River,21,Hydraulic,Hired_Labor,9/8/2002 0:00,9/16/2002 0:00,331.4,331,cubicYard,HOGBACK,UM_21_MVR_20020805_BD_33113324_02C,UM_21_MVR_20021007_CS_33003324_02D,,WM. A. THOMPSON,,HOGBACK ISLAND BANKLINE PLACEMENT 331.6-332.2L,B5ODTJLM,3/29/2023 17:22,B5ODTDJM,6/12/2025 18:27
,,,99814,2.22002E+14,channel,-12,foot,dredged,2002,,TURTLE ISLAND,,2002100631163119,,UM_3125_T,,,,,19069,Mississippi_River,22,Hydraulic,Hired_Labor,10/6/2002 0:00,10/8/2002 0:00,311.9,311.6,cubicYard,TURTLE ISLAND,UM_22_MVR_20020806_CS_31153142_02B,UM_22_MVR_20021009_CS_31153127_02C,,WM. A. THOMPSON,,THALWEG PLACEMENT NEAR WALKER SLOUGH LIGHT 312.1-312.7T,B5ODTJLM,3/29/2023 17:22,B5ODTDJM,6/12/2025 18:27
,,,99818,2.22002E+14,channel,-11,foot,dredged,2002,,NE MO POWER,,2002100931973201,,UM_3184_R,,,,,27344,Mississippi_River,22,Hydraulic,Hired_Labor,10/9/2002 0:00,10/17/2002 0:00,320.1,319.7,cubicYard,NE MISSOURI POWER,UM_22_MVR_20020925_BD_31923204_02C,UM_22_MVR_20021106_CS_31923200_02D,,WM. A. THOMPSON,,BAY DE CHARLES UPLAND PLACEMENT 318.4-318.6R,B5ODTJLM,3/29/2023 17:22,B5ODTDJM,6/12/2025 18:27
,,,99870,1.82002E+14,channel,-11,foot,dredged,2002,,KEITHSBURG LOWER,,2002092142534257,,UM_4255_L,,,,,22992,Mississippi_River,18,Hydraulic,Hired_Labor,9/21/2002 0:00,9/25/2002 0:00,425.7,425.3,cubicYard,KEITHSBURG LOWER,UM_18_MVR_20020820_BD_42504277_02C,UM_18_MVR_20021016_CS_42524258_02D,,WM. A. THOMPSON,,WILLOWBAR DMMP LOWER UPLAND PLACEMENT 425.5-425.7L,B5ODTJLM,3/29/2023 17:22,B5ODTDJM,6/12/2025 18:27
,,,99996,1.82002E+14,channel,-11,foot,dredged,2002,,FURNAL ISLAND,,2002072241354138,,UM_4179_R,,,,,35500,Mississippi_River,18,Mechanical,Commercial,7/22/2002 0:00,8/19/2002 0:00,413.8,413.5,cubicYard,FERNAL ISLAND,UM_18_MVR_20020710_BD_41344140_02D,UM_18_MVR_20020805_CS_41304140_02E,,LAMETTI,,MEEKERS LANDING UPLAND PLACEMENT 417.6-417.9R,B5ODTJLM,3/29/2023 17:22,B5ODTDJM,6/12/2025 18:27
,,,99865,1.82002E+14,channel,-11,foot,dredged,2002,,OQUAWKA BEND,,2002072241464148,,UM_4179_R,,,,,10031,Mississippi_River,18,Mechanical,Commercial,7/22/2002 0:00,8/19/2002 0:00,414.8,414.6,cubicYard,OQUAWKA BEND,UM_18_MVR_20020715_BD_41404153_02D,UM_18_MVR_20020814_BD_41454148_02F,,LAMETTI,,MEEKERS LANDING UPLAND PLACEMENT 417.6-417.9R,B5ODTJLM,3/29/2023 17:22,B5ODTDJM,6/12/2025 18:27
,,,99929,1.32003E+14,channel,-11,foot,dredged,2003,,SABULA,,2003070953355340,,UM_5384_T,,,,,13179,Mississippi_River,13,Mechanical,Hired_Labor,7/9/2003 0:00,7/29/2003 0:00,534,533.5,cubicYard,SABULA LOWER,UM_13_MVR_20030618_BD_53295341_03B,UM_13_MVR_20030730_CS_53305342_03C,,HIRED LABOR,,SAVANNA THALWEG PLACEMENT 537.9-538.2T,B5ODTJLM,3/29/2023 17:22,B5ODTDJM,6/12/2025 18:27
,,,99764,LA2006116421643,harbor,-11,foot,dredged,2006,,PEORIA BOAT YARD,,2006112816421643,,IL_1644_R,,,,,1567,Illinois_Waterway,LA,Mechanical,Hired_Labor,11/28/2006 0:00,11/30/2006 0:00,164.3,164.2,cubicYard,PEORIA BOAT YARD,,,,MAZON,,PEORIA BOAT YARD UPLAND PLACEMENT 164.3R,B5ODTJLM@MVD,8/21/2024 17:57,B5ODTDJM,6/12/2025 18:27
