SDSID,SDSFEATURENAME,SDSFEATUREDESCRIPTION,SDSMETADATAID,DISTANCEMARKCATEGORY,DISTANCEMARKERIDPK,CATDIS,WTWDIS,UNLOCD,HUNITS,SORDAT,DIS_REF,WATERWAY,RULEID,Pool,PoolElev,VertDatum
,,Mississippi River - The river miles were originally digitized from the war department quads of the 1930's.  River mile positions are not from the authorized project design and have been cartographically modified to match the sailing line.,,markNotPhysicallyInstalled,mvrum_4073_rm,1,407.299987789999989,,5,20130522,Confluence with the Ohio River,UPPER MISSISSIPPI,1,19,518.200000000000045,MSL1912
,,Mississippi River - The river miles were originally digitized from the war department quads of the 1930's.  River mile positions are not from the authorized project design and have been cartographically modified to match the sailing line.,,markNotPhysicallyInstalled,mvrum_4399_rm,1,439.899993900000027,,5,20130522,Confluence with the Ohio River,UPPER MISSISSIPPI,1,17,536.000000000000000,MSL1912
,,Mississippi River - The river miles were originally digitized from the war department quads of the 1930's.  River mile positions are not from the authorized project design and have been cartographically modified to match the sailing line.,,markNotPhysicallyInstalled,mvrum_4393_rm,1,439.299987789999989,,5,20130522,Confluence with the Ohio River,UPPER MISSISSIPPI,1,17,536.000000000000000,MSL1912
,,Mississippi River - The river miles were originally digitized from the war department quads of the 1930's.  River mile positions are not from the authorized project design and have been cartographically modified to match the sailing line.,,markNotPhysicallyInstalled,mvrum_4376_rm,1,437.600006099999973,,5,20130522,Confluence with the Ohio River,UPPER MISSISSIPPI,1,17,536.000000000000000,MSL1912
,,Mississippi River - The river miles were originally digitized from the war department quads of the 1930's.  River mile positions are not from the authorized project design and have been cartographically modified to match the sailing line.,,markNotPhysicallyInstalled,mvrum_4401_rm,1,440.100006099999973,,5,20130522,Confluence with the Ohio River,UPPER MISSISSIPPI,1,17,536.000000000000000,MSL1912
,,Mississippi River - The river miles were originally digitized from the war department quads of the 1930's.  River mile positions are not from the authorized project design and have been cartographically modified to match the sailing line.,,markNotPhysicallyInstalled,mvrum_4359_rm,1,435.899993900000027,,5,20130522,Confluence with the Ohio River,UPPER MISSISSIPPI,1,18,528.000000000000000,MSL1912
,,Mississippi River - The river miles were originally digitized from the war department quads of the 1930's.  River mile positions are not from the authorized project design and have been cartographically modified to match the sailing line.,,markNotPhysicallyInstalled,mvrum_4358_rm,1,435.799987789999989,,5,20130522,Confluence with the Ohio River,UPPER MISSISSIPPI,1,18,528.000000000000000,MSL1912
,,Mississippi River - The river miles were originally digitized from the war department quads of the 1930's.  River mile positions are not from the authorized project design and have been cartographically modified to match the sailing line.,,markNotPhysicallyInstalled,mvrum_4356_rm,1,435.600006099999973,,5,20130522,Confluence with the Ohio River,UPPER MISSISSIPPI,1,18,528.000000000000000,MSL1912
,,Mississippi River - The river miles were originally digitized from the war department quads of the 1930's.  River mile positions are not from the authorized project design and have been cartographically modified to match the sailing line.,,markNotPhysicallyInstalled,mvrum_4332_rm,1,433.200012210000011,,5,20130522,Confluence with the Ohio River,UPPER MISSISSIPPI,1,18,528.000000000000000,MSL1912
,,Mississippi River - The river miles were originally digitized from the war department quads of the 1930's.  River mile positions are not from the authorized project design and have been cartographically modified to match the sailing line.,,markNotPhysicallyInstalled,mvrum_4331_rm,1,433.100006099999973,,5,20130522,Confluence with the Ohio River,UPPER MISSISSIPPI,1,18,528.000000000000000,MSL1912
,,Mississippi River - The river miles were originally digitized from the war department quads of the 1930's.  River mile positions are not from the authorized project design and have been cartographically modified to match the sailing line.,,markNotPhysicallyInstalled,mvrum_4326_rm,1,432.600006099999973,,5,20130522,Confluence with the Ohio River,UPPER MISSISSIPPI,1,18,528.000000000000000,MSL1912
,,Mississippi River - The river miles were originally digitized from the war department quads of the 1930's.  River mile positions are not from the authorized project design and have been cartographically modified to match the sailing line.,,markNotPhysicallyInstalled,mvrum_4324_rm,1,432.399993900000027,,5,20130522,Confluence with the Ohio River,UPPER MISSISSIPPI,1,18,528.000000000000000,MSL1912
